H|43001|0000001001|01/05/2021|32|
L|43001|0000001001|01/05/2021|1||||||||||||||||||||891878.53|55100100|TRANSFER IN
L|43001|0000001001|01/05/2021|2||||||||||||||||||||5.00|99999999|TRANSFER IN
L|43001|0000001001|01/05/2021|3||||||||||||||||||||5.00|99999999|TRANSFER IN
L|43001|0000001001|01/05/2021|4||||||||||||||||||||6.00|99999999|TRANSFER IN
L|43001|0000001001|01/05/2021|5||||||||||||||||||||2.00|99999999|TRANSFER IN
L|43001|0000001001|01/05/2021|6||||||||||||||||||||125000.00|34990100|TRANSFER IN
L|43001|0000001001|01/05/2021|7||||||||||||||||||||500000.00|93000100|TRANSFER IN
L|43001|0000001001|01/05/2021|8||||||||||||||||||||195760.99|45020100|TRANSFER IN
L|43001|0000001001|01/05/2021|9||||||||||||||||||||6000000.00|10000001|TRANSFER IN
L|43001|0000001001|01/05/2021|10||||||||||||||||||||1000000.00|69000100|TRANSFER IN
L|43001|0000001001|01/05/2021|11||||||||||||||||||||1725000.00|34921000|TRANSFER IN
L|43001|0000001001|01/05/2021|12||||||||||||||||||||13225000.00|34926000|TRANSFER IN
L|43001|0000001001|01/05/2021|13||||||||||||||||||||6246039.00|34960200|TRANSFER IN
L|43001|0000001001|01/05/2021|14||||||||||||||||||||6246039.00|34960200|TRANSFER IN
L|43001|0000001001|01/05/2021|15||||||||||||||||||||50000000.00|34945000|TRANSFER IN
L|43001|0000001001|01/05/2021|16||||||||||||||||||||16600.00|34961600|TRANSFER IN
L|43001|0000001001|01/05/2021|17||||||||||||||||||||5000000.00|34962300|TRANSFER IN
L|43001|0000001001|01/05/2021|18||||||||||||||||||||11117332.86|34910100|TRANSFER IN
L|43001|0000001001|01/05/2021|19||||||||||||||||||||-18.00|99999999|TRANSFER OUT
L|43001|0000001001|01/05/2021|20||||||||||||||||||||-1193958.47|52000100|TRANSFER OUT
L|43001|0000001001|01/05/2021|21||||||||||||||||||||-10.02|52000200|TRANSFER OUT
L|43001|0000001001|01/05/2021|22||||||||||||||||||||-876482.20|55100100|TRANSFER OUT
L|43001|0000001001|01/05/2021|23||||||||||||||||||||-1643678.00|99000100|TRANSFER OUT
L|43001|0000001001|01/05/2021|24||||||||||||||||||||-711529.00|51000400|TRANSFER OUT
L|43001|0000001001|01/05/2021|25||||||||||||||||||||-308000.00|49000100|TRANSFER OUT
L|43001|0000001001|01/05/2021|26||||||||||||||||||||-8300.00|34961600|TRANSFER OUT
L|43001|0000001001|01/05/2021|27||||||||||||||||||||-553837.81|54120400|TRANSFER OUT
L|43001|0000001001|01/05/2021|28||||||||||||||||||||-8300.00|34961600|TRANSFER OUT
L|43001|0000001001|01/05/2021|29||||||||||||||||||||-12492078.00|34960200|TRANSFER OUT
L|43001|0000001001|01/05/2021|30||||||||||||||||||||-204203.86|54120200|TRANSFER OUT
L|43001|0000001001|01/05/2021|31||||||||||||||||||||-8419551.67|54100200|TRANSFER OUT
L|43001|0000001001|01/05/2021|32||||||||||||||||||||-100000.00|89000100|TRANSFER OUT
